,all_stim,area,cell_specimen_id,donor_full_genotype,dsi_dg,experiment_container_id,failed_experiment_container,g_dsi_dg,g_osi_dg,g_osi_sg,image_sel_ns,imaging_depth,osi_dg,osi_sg,p_dg,p_ns,p_run_mod_dg,p_run_mod_ns,p_run_mod_sg,p_sg,peak_dff_dg,peak_dff_ns,peak_dff_sg,pref_dir_dg,pref_image_ns,pref_ori_sg,pref_phase_sg,pref_sf_sg,pref_tf_dg,reliability_dg,reliability_nm1_a,reliability_nm1_b,reliability_nm1_c,reliability_nm2,reliability_nm3,reliability_ns,reliability_sg,rf_area_off_lsn,rf_area_on_lsn,rf_center_off_x_lsn,rf_center_off_y_lsn,rf_center_on_x_lsn,rf_center_on_y_lsn,rf_chi2_lsn,rf_distance_lsn,rf_overlap_index_lsn,run_mod_dg,run_mod_ns,run_mod_sg,sfdi_sg,specimen_id,tfdi_dg,time_to_peak_ns,time_to_peak_sg,tld1_id,tld1_name,tld2_id,tld2_name,tlr1_id,tlr1_name
2067,True,VISpm,517424066,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/Ai93(TITL-GCaMP6f),0.484842454099101,511510753,False,0.479548871392214,0.995560169977909,0.974987382283925,0.0463898305084747,175,1.33596128797424,1.13388071782486,6.82280438592765e-13,5.17510003558941e-17,0.262884745866312,0.871814226633659,0.0691912302219007,2.27606384246904e-27,5.72604215343793,1.49138091467321,3.30337589953619,270.0,88.0,90.0,0.5,0.04,8.0,0.0543711591384642,0.00276919501124568,0.0194281006694176,0.00652308909142942,0.0128070071776087,0.00149605980668201,0.0262461522214484,0.0629272171857322,,,,,,,0.999993675465113,,,-0.441035351865484,0.145410693409386,0.654673407289925,0.321478596402699,496001363,0.278513893526275,0.166249999999994,0.132999999999996,177839004,Cux2-CreERT2,177837320.0,Camk2a-tTA,265943423,Ai93(TITL-GCaMP6f)
2077,True,VISpm,517424118,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/Ai93(TITL-GCaMP6f),,511510753,False,0.425413618814855,0.740721558010749,0.793280781019567,0.482559322033898,175,,,0.0582459591207894,0.00245673829074392,0.213155281429853,0.171031573565927,0.20722498470985,0.0739241679877207,1.62998743297843,5.2590749451844,1.19062108360231,,49.0,,,,,-0.0204173498017533,0.0137480940328834,-0.0022251493445566,0.0147747396850058,0.0590870269026131,0.0272778804650395,0.0137285412749796,-0.00655834112152779,,,,,,,0.999999999983681,,,-1.12544710360472,0.994194758614224,-1.25345515468191,0.150078495261346,496001363,0.219944488792066,0.332499999999989,,177839004,Cux2-CreERT2,177837320.0,Camk2a-tTA,265943423,Ai93(TITL-GCaMP6f)
2080,True,VISpm,517424140,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/Ai93(TITL-GCaMP6f),0.722293836150685,511510753,False,0.331559805763239,0.566300669907325,0.396270648553466,0.244406779661017,175,0.908133773080235,0.816256473522474,1.29282137930198e-09,2.33775821006739e-06,0.27390438384864,0.446532373615001,0.247024484384498,3.12467288207987e-11,6.46652713517348,2.07256469041109,1.11288035459196,315.0,59.0,150.0,0.75,0.02,8.0,0.043346526316992,0.0466838395077509,0.00831169910485645,0.00309290532247998,0.0144534544076731,0.0277667186544504,-0.0137583135592441,0.0055996523099835,,,,,,,0.999999997092802,,,0.857814989269625,-0.694126207126824,0.892183887516296,0.206168158955368,496001363,0.333294520932818,0.0332499999999989,0.132999999999996,177839004,Cux2-CreERT2,177837320.0,Camk2a-tTA,265943423,Ai93(TITL-GCaMP6f)
2085,True,VISpm,517424181,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/Ai93(TITL-GCaMP6f),,511510753,False,0.441941231904461,0.19439909084728,0.688173582254182,,175,0.148560946818353,,2.65383495894005e-07,0.0410399560206701,0.278729439734932,0.119000841936142,0.124892157651417,6.40656523804731e-06,1.78649426358087,1.47603949867189,2.53774311591168,315.0,94.0,60.0,0.25,0.04,15.0,0.00591347396981817,0.0368735251083798,0.0661999418086073,0.0564512127239665,0.161944902062389,0.00871075410406419,0.0135740794787101,0.0894502368155882,,190.96310690809,,,54.4838695555579,22.9818644043239,0.305555520787702,,,0.811306981280057,0.723374389785495,0.40620651550225,0.219228373600723,496001363,0.382386040713628,0.132999999999996,0.29924999999999,177839004,Cux2-CreERT2,177837320.0,Camk2a-tTA,265943423,Ai93(TITL-GCaMP6f)
2087,True,VISpm,517424205,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/Ai93(TITL-GCaMP6f),0.815490496482426,511510753,False,0.660619432718148,0.533090718157516,0.54548492601372,0.236966101694915,175,0.716002124469529,0.998981788563894,0.0252695069501801,6.66280769301983e-05,0.212121167393394,0.103294314516079,0.400460553109185,9.01552298150092e-09,3.98268219629924,2.65289098012727,3.20545064078226,90.0,5.0,120.0,0.5,0.16,2.0,0.00633526766113064,0.0445728625930942,0.00468425454113418,0.00608527667716574,0.00758005975236024,0.0119749682433047,0.0347724228296563,0.00260437265231475,,11.1943142138409,,,28.0130169168037,41.9987444666883,0.000133324769573284,,,1.05612048140515,0.782775627052917,0.845779037233452,0.184922558202555,496001363,0.246016674381237,0.166249999999994,0.29924999999999,177839004,Cux2-CreERT2,177837320.0,Camk2a-tTA,265943423,Ai93(TITL-GCaMP6f)
2104,True,VISpm,517424448,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/Ai93(TITL-GCaMP6f),0.810125149503036,511510753,False,0.477447755405769,0.772328748297531,0.309806233180206,0.219576271186441,175,0.977736231875008,0.820446842605437,1.2639867147907e-09,4.85036389770106e-08,0.39803132173764,0.00850749147527624,0.107280761719715,0.00639084018377292,7.31328520973523,6.89326544009149,3.72349228443844,45.0,64.0,120.0,0.0,0.08,4.0,0.010249510020942,0.0212550442138202,0.0095633130090021,0.00902215317252182,0.00695687372593927,0.058501844880661,0.0334163703767616,-0.00524080502591437,,,,,,,0.999999999861798,,,-0.852794651611629,-1.138858463583,-0.902043121982223,0.213283476794222,496001363,0.23953602000427,0.398999999999987,0.365749999999988,177839004,Cux2-CreERT2,177837320.0,Camk2a-tTA,265943423,Ai93(TITL-GCaMP6f)
2108,True,VISpm,517424469,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/Ai93(TITL-GCaMP6f),,511510753,False,0.666830263796469,0.690702155702573,0.642028819186756,0.171423728813559,175,,1.20747041960963,1.28387046636269e-36,0.0133033265066385,0.938125565606588,0.838840339821271,0.17261147115392,0.00285317446167056,5.70464379355156,6.09488743901253,4.24576389048404,270.0,59.0,150.0,0.5,0.32,8.0,0.273496849892362,0.0271275769384826,0.055697277394133,0.169210151303984,0.0640520762728614,0.352952837393481,0.0475925443909119,0.0312340859417862,12.3075651259399,10.6619069876125,120.725137152956,9.3675771317495,97.4957712741972,32.4994363831334,0.999998942821866,32.782409178629,0.0,0.110156864517669,-0.179873160631878,-0.87147966857884,0.252152010675812,496001363,0.322507746702922,0.365749999999988,0.365749999999988,177839004,Cux2-CreERT2,177837320.0,Camk2a-tTA,265943423,Ai93(TITL-GCaMP6f)
2130,True,VISpm,517424709,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/Ai93(TITL-GCaMP6f),,511510753,False,0.624862609455377,0.849390332873484,0.810619132005097,0.874271186440678,175,,1.07092856098346,0.0503867872929886,1.43697607526664e-182,0.251441720029913,0.810334867447954,0.0865656788879033,1.85003803233015e-08,4.89627243081729,61.1346785500646,4.27439790906632,,22.0,120.0,0.5,0.08,,0.0172529986830453,0.00396173490849464,0.0111586512948294,0.00384871930278536,0.0192273378676144,0.00795968372030754,0.430770118666319,0.00610698158482841,11.4452238423414,,120.956927962152,28.0136074769938,,,0.999932101397246,,,1.03747152193757,-0.131916345686426,0.98456384609381,0.226385922613934,496001363,0.22222273081287,0.29924999999999,0.365749999999988,177839004,Cux2-CreERT2,177837320.0,Camk2a-tTA,265943423,Ai93(TITL-GCaMP6f)
2138,True,VISpm,517424762,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/Ai93(TITL-GCaMP6f),1.83726697773877,511510753,False,1.0,1.0,1.0,0.613949152542373,175,,1.17853348755084,0.00039889726893243,1.50247390500806e-169,0.272314428470597,0.377933079206394,0.179311334233413,0.000743214687507503,4.13069532910983,34.410080074966,2.02893860198557,45.0,116.0,90.0,0.5,0.04,1.0,0.0946540256402916,0.0238076215951716,0.00945726343560158,0.00793444098864134,0.0298977416581615,0.0942601478940223,0.615881988144072,0.0782321019678136,82.0766119336267,,99.6851214376102,6.18583449466664,,,0.981772627042914,,,1.00016965639788,0.172700081578134,-0.794332278983329,0.228557804047083,496001363,0.339808910175375,0.199499999999993,0.232749999999992,177839004,Cux2-CreERT2,177837320.0,Camk2a-tTA,265943423,Ai93(TITL-GCaMP6f)
2139,True,VISpm,517424770,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/Ai93(TITL-GCaMP6f),0.334767659032491,511510753,False,0.396820509477615,0.85304340234135,0.916088756225223,0.250118644067797,175,,1.15696954290645,0.000578249215533097,0.289957850202428,0.401516860856106,0.570958711132366,0.229974021659906,0.00748395984508659,6.24345488250256,3.18064003095031,4.8971439239252,0.0,,120.0,0.25,0.08,8.0,0.017167614629939,0.0497087020180429,-0.00136176164344129,0.0127206873036987,0.0224160346285496,0.0581679297478499,0.00447561441703957,-0.00814867055780917,,,,,,,0.995004756961393,,,0.539243463638516,-0.702845812360359,-0.704290309925003,0.202994137777272,496001363,0.345815650489536,,0.332499999999989,177839004,Cux2-CreERT2,177837320.0,Camk2a-tTA,265943423,Ai93(TITL-GCaMP6f)
